product_id,seller_id,units_total,nonzero_demand_periods,n_time_periods,units_mean,units_std,COV2,ADI,type
f1c7f353075ce59d8a6f3cf58f419c9c,37be5a7c751166fbc5f8ccba4119e043,158.0,15,19,10.533333333333333,5.853773711604051,0.3088447364204454,1.2666666666666666,Smooth
19c91ef95d509ea33eda93495c4d3481,06a2c3af7b3aee5d69171b0e14f0ee87,157.0,23,31,6.826086956521739,5.589374447947426,0.6704752912712668,1.3478260869565217,Lumpy
8c591ab0ca519558779df02023177f44,a1043bafd471dff536d0c462352beb48,155.0,54,80,2.8703703703703702,2.6638480911437923,0.8612773643806569,1.4814814814814814,Lumpy
0aabfb375647d9738ad0f7b4ea3653b1,37515688008a7a40ac93e3b2e4ab203f,154.0,37,54,4.162162162162162,3.8116306915188582,0.8386555724218062,1.4594594594594594,Lumpy
e0cf79767c5b016251fe139915c59a26,da8622b14eb17ae2831f4ac5b9dab84a,148.0,43,48,3.441860465116279,2.270958740073026,0.43534340324880866,1.1162790697674418,Smooth
2028bf1b01cafb2d2b1901fca4083222,cc419e0650a3c5ba77189a1882b7556a,145.0,45,63,3.2222222222222223,2.7459796139818735,0.726245811263647,1.4,Lumpy
d017a2151d543a9885604dc62a3d9dcc,6560211a19b47992c3666cc44a7e94c0,144.0,56,77,2.5714285714285716,1.8276377486416011,0.5051627384960719,1.375,Lumpy
7a10781637204d8d10485c71a6108a2e,4869f7a5dfa277a7dca6462dcf3b52b2,139.0,38,41,3.6578947368421053,2.840596775798046,0.6030547912438085,1.0789473684210527,Eratic
08574b074924071f4e201e151b152b4e,001cca7ae9ae17fb1caed9dfb1094831,131.0,40,56,3.275,2.2644125292366897,0.47806669565308335,1.4,Intermitent
928e52a9ad53a294fdcc91bcf59d1751,955fee9216a65b617aa5c0531780ce60,127.0,16,19,7.9375,9.412535967173424,1.406195879058425,1.1875,Eratic
4c2394abfbac7ff59ec7a420918562fa,cc419e0650a3c5ba77189a1882b7556a,126.0,31,44,4.064516129032258,5.932596305558907,2.13045267489712,1.4193548387096775,Lumpy
